2021-05-20T16:12:58,992 TRACE [Test worker]: ActorController                      - > getAllActorsReport - result = [ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female), ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male)]. 
2021-05-20T16:18:01,912 TRACE [Test worker]: ActorController                      - > deleteActor - method entered. id = 1 
2021-05-20T16:18:02,032 TRACE [Test worker]: ActorController                      - > getAllActors - method entered. 
2021-05-20T16:18:02,034 TRACE [Test worker]: ActorController                      - > getAllActors - result = [ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female), ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male)]. 
2021-05-20T16:18:02,316 TRACE [Test worker]: ActorController                      - > updateActor - method entered. actorDTO = ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female) 
2021-05-20T16:18:02,362 TRACE [Test worker]: ActorController                      - > getAllActorsReport - method entered. 
2021-05-20T16:18:02,365 TRACE [Test worker]: ActorController                      - > getAllActorsReport - result = [ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female), ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male)]. 
2021-05-20T16:27:30,270 TRACE [Test worker]: ActorController                      - > addActor - method entered. actorDto = ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female) 
2021-05-20T16:27:30,279 TRACE [Test worker]: ActorController                      - > addActor - after DTO -> Model conversion actor = null 
2021-05-20T16:27:30,281 TRACE [Test worker]: ActorController                      - > addActor - result = null 
2021-05-20T16:27:30,283 TRACE [Test worker]: ActorController                      - > addActor - after Model -> DTO conversion actorModel = null 
2021-05-20T16:27:30,349 TRACE [Test worker]: ActorController                      - > deleteActor - method entered. id = 1 
2021-05-20T16:27:30,385 TRACE [Test worker]: ActorController                      - > getAllActors - method entered. 
2021-05-20T16:27:30,387 TRACE [Test worker]: ActorController                      - > getAllActors - result = [ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male), ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female)]. 
2021-05-20T16:27:30,494 TRACE [Test worker]: ActorController                      - > getAllActorsReport - method entered. 
2021-05-20T16:27:30,495 TRACE [Test worker]: ActorController                      - > getAllActorsReport - result = [ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female), ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male)]. 
2021-05-20T16:28:17,949 TRACE [Test worker]: ActorController                      - > addActor - method entered. actorDto = ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female) 
2021-05-20T16:28:17,958 TRACE [Test worker]: ActorController                      - > addActor - after DTO -> Model conversion actor = null 
2021-05-20T16:28:17,960 TRACE [Test worker]: ActorController                      - > addActor - result = null 
2021-05-20T16:28:17,962 TRACE [Test worker]: ActorController                      - > addActor - after Model -> DTO conversion actorModel = null 
2021-05-20T16:31:34,987 TRACE [Test worker]: ActorController                      - > addActor - method entered. actorDto = ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female) 
2021-05-20T16:31:34,996 TRACE [Test worker]: ActorController                      - > addActor - after DTO -> Model conversion actor = null 
2021-05-20T16:31:34,998 TRACE [Test worker]: ActorController                      - > addActor - result = null 
2021-05-20T16:31:35,000 TRACE [Test worker]: ActorController                      - > addActor - after Model -> DTO conversion actorModel = null 
2021-05-20T19:09:12,914 WARN  [Test worker]: DefaultHandlerExceptionResolver      - Failed to read HTTP message: org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: ro.ubb.catalog.web.dto.PlayDTO ro.ubb.catalog.web.controller.PlayController.addPlay(ro.ubb.catalog.web.dto.PlayDTO) 
2021-05-20T19:09:12,987 TRACE [Test worker]: PlayController                       - > getAllPlays - method entered. 
2021-05-20T19:09:12,999 TRACE [Test worker]: PlayController                       - > getAllPlays - result = [null]. 
